Date,CreateDate,Title,URL,Categories,Tags,NotesLink,Description,Remarks
2025-02-13,2025-02-13,손에-잡히는-소프트웨어-아키텍처-설계_Python,https://www.youtube.com/watch?v=NN9pFgIHc50&list=WL&index=3&ab_channel=%EB%A9%94%ED%83%80%EC%BD%94%EB%93%9CM,ai,"python,architecture",./손에-잡히는-소프트웨어-아키텍처-설계_Python/index.md,,
2025-02-13,2025-02-13,업무-효율을-확-끌어올리는-GitHub-Copilot활용-프로그래밍,https://www.youtube.com/watch?v=Vse0oFS4BBw&list=PLo6G6c3Za_Rw4HNuVmKNCr9zA2S9D8sDX&index=1&pp=iAQB,ai,"github,copilot",./업무-효율을-확-끌어올리는-GitHub-Copilot활용-프로그래밍/index.md,,
2025-02-13,2025-02-13,업무-효율을-확-끌어올리는-LangChain과-함께하는-LLM-기반-애플리케이션-개발,https://www.youtube.com/watch?v=h9l-d61GjI8,ai,"langchain,llm",./업무-효율을-확-끌어올리는-LangChain과-함께하는-LLM-기반-애플리케이션-개발/index.md,,
2025-02-13,2025-02-13,업무-효율을-확-끌어올리는-MS365-Copilot-프롬프트-마스터-클래스,https://www.youtube.com/watch?v=sUBU2lH73Rw,ai,"ms,copilot",./업무-효율을-확-끌어올리는-MS365-Copilot-프롬프트-마스터-클래스/index.md,,
