Date,CreateDate,Title,URL,Categories,Tags,NotesLink,Description,Remarks
2025-01-23,,"fliki",https://app.fliki.ai/,ai,"text,video",,text to video,Transform Text into Videos — Generate professional results efficiently for your business needs. Create eye-catching thumbnails to boost video click-through rates. Content Creation. Marketing & Social Media. eCommerce. Education and E-Learning. Business and Corporate. Localization &Translation.
2025-01-26,,Browser Use,https://github.com/browser-use/browser-use,ai,"agents,operators",,"Enable AI to control your browser 🤖.
  - Browser use is the easiest way to connect your AI agents with the browser.",
2025-01-29,,Ngrok - 특징 및 사용법 (로컬 서버를 공개 서버로),https://cordcat.tistory.com/105,url,"ngrok,tunneling",,"Ngrok은 로컬 개발 환경에서 인터넷을 통해 웹 애플리케이션에 안전하게 접근할 수 있도록 해주는 도구입니다. 보안 연결을 통해 인터넷에서 서버를 실행할 수 있으며, 웹 애플리케이션을 외부에 노출시키지 않고도 테스트할 수 있습니다.
  - Tunneling을 제공하는 것으로 보이고 , port도 fix하여 사용할수 있게 제공(id마다 1개)
  - Reverse Tunneling 가능한지 확인 필요!!!",
2025-02-03,2025-02-02,DeepSeek-R1에 대한 모든 기초 설명,https://www.youtube.com/watch?v=0WWeq97FD70,ai,"deepseek,R1,10XAI-Club",,한글로 쉽게 deepseek에 대한 설명 (역시 10XAI club),"강화학습에서 조금만 알려주면 reflection , aha moment를 스스로 하여 발전한다."
2025-02-03,2024-07-23,뉴스 주식 분석 GPTs 만들기,https://www.youtube.com/watch?v=HD6yhTCWzgQ,ai,"stock,analysis,GPTs",,[ ] 따라해보자.,"링크:
  - https://serpapi.com/google-news-api
  - https://serpapi.com/google-finance-api"
